"round","score","accuracy","wins","losses","ties"
"all",63,0.39656862745098,464,345,373
"36",2,0.4,11,4,6
"35",4,0.8,19,1,5
"34",2,0.4,6,11,8
"33",1,0.2,2,11,10
"32",2,0.4,13,4,6
"31",3,0.6,19,1,6
"30",2,0.4,12,5,9
"29",3,0.6,16,6,9
"28",2,0.4,2,21,5
"27",2,0.4,4,14,12
"26",2,0.4,19,3,7
"25",3,0.6,26,2,2
"24",1,0.2,9,8,11
"23",1,0.2,9,5,13
"22",1,0.2,6,11,7
"21",1,0.2,3,14,11
"20",2,0.4,5,11,12
"19",2,0.5,16,1,11
"18",2,0.4,11,4,12
"17",1,0.25,0,17,11
"15",0,0,0,2,29
"14",3,0.6,27,2,2
"13",2,0.4,12,5,15
"12",0,0,0,31,3
"11",2,0.4,15,11,13
"10",2,0.666666666666667,12,10,16
"9",3,0.75,41,0,1
"8",1,0.2,0,34,11
"7",1,0.333333333333333,16,2,14
"5",1,0.333333333333333,3,18,21
"4",1,0.25,14,28,16
"3",4,0.8,45,1,15
"2",1,0.2,5,39,19
"1",3,0.6,66,8,25
