"coaches_teams","coaches_names","PPS","alert_level","Games left","prediction","titles"
"BSC Young Boys","Patrick Rahmen (BSC Young Boys)",0.733333333333333,9,11.7847296786468,"Will get fired soon!",4
"FC Sion","Didier Tholot (FC Sion)",1.14444444444444,8,20.4808642534742,"Needs a win badly!",0
"Yverdon Sport FC","Alessandro Mangiarratti (Yverdon Sport FC)",1.14444444444444,8,21.6093557630431,"Needs a win badly!",0
"FC Basel 1893","Fabio Celestini (FC Basel 1893)",1.48888888888889,8,28.5709617218267,"Needs a win badly!",12
"FC Lausanne-Sport","Ludovic Magnin (FC Lausanne-Sport)",0.866666666666667,6,36.7352883045783,"Should start to worry...",0
"Grasshopper Club Zürich","Marco Schällibaum (Grasshopper Club Zürich)",0.977777777777778,6,36.8092516398868,"Should start to worry...",3
"FC Winterthur","Ognjen Zaric (FC Winterthur)",0.755555555555555,6,36.9984641206971,"Should start to worry...",0
"FC Lugano","Mattia Croci-Torti (FC Lugano)",1.9,3,56.7388005894381,"Should keep his job a while",0
"FC St. Gallen 1879","Enrico Maaßen (FC St. Gallen 1879)",1.46666666666667,2,63.097463618751,"Does have nothing to worry about!",0
"Servette FC","Thomas Häberli (Servette FC)",1.78888888888889,2,66.0844304776207,"Does have nothing to worry about!",0
"FC Zürich","Ricardo Moniz (FC Zürich)",1.88888888888889,1,71.9432428224788,"Can stay as long as he wants!",6
"FC Luzern","Mario Frick (FC Luzern)",2.08888888888889,1,85.5551627328529,"Can stay as long as he wants!",0
